id,sura_name,sura,tafsir_ayah_start,tafsir_ayah_end
0,Al-Fatihah,1,1,1
1,Al-Fatihah,1,2,2
2,Al-Fatihah,1,3,3
3,Al-Fatihah,1,4,4
4,Al-Fatihah,1,5,5
5,Al-Fatihah,1,6,6
6,Al-Fatihah,1,7,7
7,Al-Baqarah,2,1,1
8,Al-Baqarah,2,2,2
9,Al-Baqarah,2,3,3
10,Al-Baqarah,2,4,4
11,Al-Baqarah,2,5,5
12,Al-Baqarah,2,6,6
13,Al-Baqarah,2,7,7
14,Al-Baqarah,2,8,9
15,Al-Baqarah,2,10,10
16,Al-Baqarah,2,11,12
17,Al-Baqarah,2,13,13
18,Al-Baqarah,2,14,15
19,Al-Baqarah,2,16,16
20,Al-Baqarah,2,17,18
21,Al-Baqarah,2,19,20
22,Al-Baqarah,2,21,22
23,Al-Baqarah,2,23,24
24,Al-Baqarah,2,25,25
25,Al-Baqarah,2,26,27
26,Al-Baqarah,2,28,28
27,Al-Baqarah,2,29,29
28,Al-Baqarah,2,30,30
29,Al-Baqarah,2,31,33
30,Al-Baqarah,2,34,34
31,Al-Baqarah,2,35,36
32,Al-Baqarah,2,37,37
33,Al-Baqarah,2,38,39
34,Al-Baqarah,2,40,41
35,Al-Baqarah,2,42,43
36,Al-Baqarah,2,44,44
37,Al-Baqarah,2,45,46
38,Al-Baqarah,2,47,47
39,Al-Baqarah,2,48,48
40,Al-Baqarah,2,49,50
41,Al-Baqarah,2,51,53
42,Al-Baqarah,2,54,54
43,Al-Baqarah,2,55,56
44,Al-Baqarah,2,57,57
45,Al-Baqarah,2,58,59
46,Al-Baqarah,2,60,60
47,Al-Baqarah,2,61,61
48,Al-Baqarah,2,62,62
49,Al-Baqarah,2,63,64
50,Al-Baqarah,2,65,66
51,Al-Baqarah,2,67,67
52,Al-Baqarah,2,68,71
53,Al-Baqarah,2,72,73
54,Al-Baqarah,2,74,74
55,Al-Baqarah,2,75,77
56,Al-Baqarah,2,78,79
57,Al-Baqarah,2,80,80
58,Al-Baqarah,2,81,82
59,Al-Baqarah,2,83,83
60,Al-Baqarah,2,84,86
61,Al-Baqarah,2,87,87
62,Al-Baqarah,2,88,88
63,Al-Baqarah,2,89,89
64,Al-Baqarah,2,90,90
65,Al-Baqarah,2,91,92
66,Al-Baqarah,2,93,93
67,Al-Baqarah,2,94,96
68,Al-Baqarah,2,97,98
69,Al-Baqarah,2,99,103
70,Al-Baqarah,2,104,105
71,Al-Baqarah,2,106,107
72,Al-Baqarah,2,108,108
73,Al-Baqarah,2,109,110
74,Al-Baqarah,2,111,113
75,Al-Baqarah,2,114,114
76,Al-Baqarah,2,115,115
77,Al-Baqarah,2,116,117
78,Al-Baqarah,2,118,118
79,Al-Baqarah,2,119,119
80,Al-Baqarah,2,120,121
81,Al-Baqarah,2,122,123
82,Al-Baqarah,2,124,124
83,Al-Baqarah,2,125,125
84,Al-Baqarah,2,126,128
85,Al-Baqarah,2,129,129
86,Al-Baqarah,2,130,132
87,Al-Baqarah,2,133,134
88,Al-Baqarah,2,135,135
89,Al-Baqarah,2,136,136
90,Al-Baqarah,2,137,138
91,Al-Baqarah,2,139,141
92,Al-Baqarah,2,142,143
93,Al-Baqarah,2,144,144
94,Al-Baqarah,2,145,145
95,Al-Baqarah,2,146,147
96,Al-Baqarah,2,148,148
97,Al-Baqarah,2,149,150
98,Al-Baqarah,2,151,152
99,Al-Baqarah,2,153,154
100,Al-Baqarah,2,155,157
101,Al-Baqarah,2,158,158
102,Al-Baqarah,2,159,162
103,Al-Baqarah,2,163,163
104,Al-Baqarah,2,164,164
105,Al-Baqarah,2,165,167
106,Al-Baqarah,2,168,169
107,Al-Baqarah,2,170,171
108,Al-Baqarah,2,172,173
109,Al-Baqarah,2,174,176
110,Al-Baqarah,2,177,177
111,Al-Baqarah,2,178,179
112,Al-Baqarah,2,180,182
113,Al-Baqarah,2,183,184
114,Al-Baqarah,2,185,185
115,Al-Baqarah,2,186,186
116,Al-Baqarah,2,187,187
117,Al-Baqarah,2,188,188
118,Al-Baqarah,2,189,189
119,Al-Baqarah,2,190,193
